name,unit_info,price,usual_price,discount,description,url,image,categories
AH Franse baguettes,2 stuks,0.65,0.65,null,"Bak thuis zelf verse Franse baguettes af als knapperig onderdeel van elke maaltijd. Lekker bij het ontbijt of de lunch, maar ook bij een feestje of BBQ. Klaar in 10-12 minuten Altijd vers op tafel, op elk moment van de dag PrijsfavorietVeganZelf afbakken","https://www.ah.nl/producten/product/wi73/ah-franse-baguettes
",https://static.ah.nl/dam/product/AHI_43545239383738313133?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Bakkerij en banket/Afbakbrood/Afbakstokbrood
Lea & Perrins Worcestershire saus,"150 mlPrijs per LT € 13,27",1.99,1.99,null,"Zuur-pittige tafelsaus voor bij vlees- of visgerechten Ideaal bij een caesarsalade, filet americain of steak tartare Zonder smaakstoffen en conserveeringsmiddelen","https://www.ah.nl/producten/product/wi103/lea-en-perrins-worcestershire-saus
",https://static.ah.nl/dam/product/AHI_43545239363033333132?revLabel=4&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Soepen, sauzen, kruiden, olie/Smaakmakers/Tafelsauzen, toevoegingen/Worcester sauce"
AH Aardappelballetjes,"600 gPrijs per KG € 2,82",1.69,1.69,null,"Voorgebakken aardappelballetjes, van verse aardappelpuree. Frituur (175°C): maximaal 200-250 gram aardappelkroketjes gedurende 3-4 minuten. Laat na het frituren even uitlekken. Oven (220°C): bak de aardappelkroketjes 15-20 minuten in het midden van een voorverwarmde oven. Eenmaal keren. Bereidingswijze: Frituur, Oven Weetje of tip: Met wat Italiaanse roerbakgroente en kipreepjes serveer je in een handomdraai een heerlijke aardappelschotel. Prijsfavorieten: topkwaliteit en altijd laaggeprijsd PrijsfavorietVeganDiepvries","https://www.ah.nl/producten/product/wi107/ah-aardappelballetjes
",https://static.ah.nl/dam/product/AHI_434d50303130393731?revLabel=4&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Diepvries/Aardappelproducten/Aardappelballetjes
Campina Halfvolle yoghurt vanillesmaak,"1 lPrijs per LT € 1,95",1.95,1.95,null,"Deze yoghurt is mild van smaak en bevat van nature voedingstoffen die je dagelijks nodig hebt zoals calcium en proteine. Daarnaast besteden Campina boeren extra aandacht aan koe, natuur en klimaat. Zacht en mild van smaak Van nature rijk aan calcium, proteine en vitamine b4 Planetproof gecertificeerd en daarmee duurzamer geproduceerd Gemaakt van Nederlandse weidemelk Vega","https://www.ah.nl/producten/product/wi123/campina-halfvolle-yoghurt-vanillesmaak
",https://static.ah.nl/dam/product/AHI_43545239373933313234?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Zuivel, plantaardig en eieren/Yoghurt en kwark/Yoghurt/Yoghurt met smaak/Vanille yoghurt"
AH Galia meloen,"per stukPrijs per KG € 3,65",2.99,2.99,null,"Wat is Nutri-Score? De Galiameloen is een sappige en zoete meloen. Lekker in een fruitsalade of in combinatie met parmaham. Smaak: Galiameloen heeft een sappige, zeer zoete smaak. Bewaren: Buiten de koelkast.","https://www.ah.nl/producten/product/wi141/ah-galia-meloen
",https://static.ah.nl/dam/product/AHI_434d50303133303437?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Aardappel, groente, fruit/Fruit/Meloen, kokosnoot/Meloenen/Galia meloen"
AH Koffiefilter no2 bruin,80 stuks,0.75,0.75,null,,"https://www.ah.nl/producten/product/wi159/ah-koffiefilter-no2-bruin
",https://static.ah.nl/dam/product/AHI_43545239383939343231?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Frisdrank, sappen, koffie, thee/Koffie/Koffieverrijkers/Koffiefilters, suiker/Koffiefilter en overige/Koffiefilters"
AH Smeerkaas naturel,"100 gPrijs per KG € 7,50",0.75,0.75,null,"Wat is Nutri-Score? Kaas van Nederlandse bodem. Volle smeerkaas naturel met een volle, romige smaak. Smaak: Volromig en smeuïg Herkomst: Nederland Gemaakt van: Koemelk Prijsfavorieten: topkwaliteit en altijd laaggeprijsd Prijsfavoriet","https://www.ah.nl/producten/product/wi249/ah-smeerkaas-naturel
",https://static.ah.nl/dam/product/AHI_43545239383631323539?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Ontbijtgranen en beleg/Hartig broodbeleg/Smeerkaas
AH Zachte kruiden roomkaas,"125 gPrijs per KG € 7,12",0.89,0.89,null,Wat is Nutri-Score? Verse roomkaas kruiden met knoflook en kruiden. Lekker makkelijk te smeren en ook handig om mee te koken. Smaak: Zacht en romig Herkomst: Denemarken Gemaakt van: Koemelk Prijsfavorieten: topkwaliteit en altijd laaggeprijsd PrijsfavorietVega,"https://www.ah.nl/producten/product/wi257/ah-zachte-kruiden-roomkaas
",https://static.ah.nl/dam/product/AHI_43545239383338323334?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Ontbijtgranen en beleg/Kaas beleg/Roomkaas/Roomkaas (kruiden)
Chiarli 1860 Lambrusco bianco,"0,75 lPrijs per LT € 2,92",2.19,2.19,null,"Kleur, smaak: wit, lichtzoet Druivenras: lambrusco Land, streek: Italie, Emilia Romagna Lekker bij: kaas, dessert VegaPrijswinnaar","https://www.ah.nl/producten/product/wi284/chiarli-1860-lambrusco-bianco
",https://static.ah.nl/dam/product/AHI_43545239383339313338?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Wijn en bubbels/Witte wijn/Overige witte wijn/Diverse witte wijn
AH Kattenbak houtkorrels,"10 lPrijs per LT € 0,60",5.99,5.99,null,100% biologisch afbreekbaar Verspreidt een aangename houtgeur Multi-inzetbaar als bodembedekker voor knaagdieren Prijsfavoriet,"https://www.ah.nl/producten/product/wi294/ah-kattenbak-houtkorrels
",https://static.ah.nl/dam/product/AHI_43545239383535373739?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Huisdier/Katten/Kattenbakvulling
